page_id	post_id	post_type	post_unix_time	post_time	post_text	total_reaction_count	comment_count	share_count	like_count	love_count	wow_count	haha_count	support_count	sorry_count	anger_count
112446317105559	592756415741211	Posts	1651751428	2022-05-05 11:50:28	平和！	17120	2356	69	8656	3570	76	4372	214	206	26
112446317105559	592720202411499	Photo	1651747723	2022-05-05 10:48:43	みなさんの質問に答えます！【美容・ダイエット】🤫🥴 https://youtu.be/JEUj3I85bbc #深田えいみ #eimifukada	10335	2067	105	5972	2964	37	1133	153	71	5
112446317105559	591161819234004	Posts	1651582364	2022-05-03 12:52:44	なんて素晴らしい眺めでしょう。🗾🗻⛩️ ここにあなたがいればいいのに。🥺👉👈 #深田えいみ #eimifukada	160576	34743	2231	103121	50481	654	3167	2314	780	59
112446317105559	560311992318987	Photo	1651580203	2022-05-03 12:16:43	✌️❤️💚	179255	33515	5957	94446	63818	520	15443	3843	1072	113
112446317105559	590338949316291	Photo	1651487830	2022-05-02 10:37:10	Girl's night, join us! youtu.be/_bEYr7EsxOM #深田えいみ #eimifukada	40822	6486	261	25500	8202	172	5975	439	512	22
112446317105559	588781912805328	Photo	1651317107	2022-04-30 11:11:47	シャワーを浴びましょう！🚿🛀 #深田えいみ #eimifukada	171741	49565	2725	104936	57113	1418	4118	2623	1428	105
112446317105559	588760246140828	Photo	1651314275	2022-04-30 10:24:35	しみけんさんと素人女性にインタビューしてきた！【後編】 https://youtu.be/JsD4NXy1AI4 #深田えいみ #eimifukada	6015	855	15	3868	1849	17	149	65	60	7
112446317105559	588127219537464	Photo	1651234581	2022-04-29 12:16:21	Does this mean retirement? 🤔😇 #深田えいみ #eimifukada	13799	3280	107	8043	2717	58	1681	160	1051	89
112446317105559	588125706204282	Posts	1651234491	2022-04-29 12:14:51	ついに、、！金の盾が届きましたーーーーーーーーーーーーーーーーーーー！やったーーーーーーーーーーーーー！ これからも深田えいみをよろしくお願いします ヾ(*´∀｀*)ノ #深田えいみ #eimifukada	48081	8750	782	27353	14313	433	5021	768	184	9
112446317105559	587433122940207	Photo	1651141101	2022-04-28 10:18:21	Skin care before going to bed！ https://youtu.be/kPt-itAl24A #深田えいみ #eimifukada	19250	3126	41	11417	7056	43	313	346	67	8
112446317105559	587394402944079	Posts	1651136732	2022-04-28 09:05:32	気分はまじチョベリグ！！！🤟😘 #深田えいみ #eimifukada	30140	5360	346	16925	11997	78	420	622	89	9
112446317105559	586914039658782	Photo	1651070213	2022-04-27 14:36:53	Anya Forger | Spy x Family 🎀🕵️❌👪 #spyxfamily #深田えいみ #eimifukada	17946	3412	595	7866	6706	94	2605	385	271	19
112446317105559	586857279664458	Photo	1651065734	2022-04-27 13:22:14	✌️💚❤️ #marina #深田えいみ #eimifukada	24795	4073	139	15264	8688	41	314	394	84	10
112446317105559	586832166333636	Photo	1651063991	2022-04-27 12:53:11	お花見🌸 @marina	17245	2301	40	10788	5844	61	212	266	63	11
112446317105559	586829536333899	Posts	1651063835	2022-04-27 12:50:35	夏が待ちきれない🌞🔅🔆 #深田えいみ #eimifukada	21259	4017	108	12323	8135	48	275	377	87	14
112446317105559	586681543015365	Photo	1651045027	2022-04-27 07:37:07	こんにちは！💓 #深田えいみ #eimifukada	35125	6046	177	21806	11995	95	469	598	148	14
112446317105559	586197076397145	Posts	1650982004	2022-04-26 14:06:44	キリッと😎🍋 #深田えいみ #eimifukada	34784	6832	306	19495	13954	64	437	706	116	12
112446317105559	586196879730498	Photo	1650981991	2022-04-26 14:06:31	もしも深田えいみが上司だったら...【妄想】 https://youtu.be/pcfld9VrsAc #深田えいみ #eimifukada	11630	1813	25	6857	4283	26	192	213	53	6
112446317105559	585319643151555	Photo	1650867879	2022-04-25 06:24:39	コンビニで▲▼撮影☺️ #深田えいみ #eimifukada	22519	3729	91	13449	8178	55	311	425	92	9
112446317105559	585259226490930	Photo	1650859977	2022-04-25 04:12:57	野球の試合を見たことがあります。⚾ #深田えいみ #eimifukada	17590	2795	70	10265	6657	43	221	343	51	10
112446317105559	584765023207017	Photo	1650801453	2022-04-24 11:57:33	Earthquake drills. Cover your head, neck and if possible the whole body underneath a sturdy table or desk. 🌋🌀🌊🌪️ #深田えいみ #eimifukada	34985	7706	430	19167	8003	170	6464	469	674	38
112446317105559	584708866545966	Photo	1650796894	2022-04-24 10:41:34	𝓑𝓐𝓝𝓐𝓝𝓐 𝓢𝓐𝓖𝓘𝓝𝓖 𝓣𝓡Á𝓘 𝓒𝓗𝓤Ố𝓘 𝓟𝓘𝓢𝓐𝓝𝓖 バナナ 🍌🍌🍌 #banana #深田えいみ #eimifukada	44886	9572	511	23773	6402	279	12675	472	1218	67
112446317105559	584685253214994	Photo	1650794698	2022-04-24 10:04:58	まじぴえんですね　☺️ #深田えいみ #eimifukada	28144	6296	305	15187	11658	62	459	647	115	16
112446317105559	583948279955358	Photo	1650716909	2022-04-23 12:28:29	【緊急】みなさんにお願いがあります https://youtu.be/qKkMMwq0ThQ #深田えいみ #eimifukada	13872	2634	24	8559	2554	57	2010	128	516	48
112446317105559	583803119969874	Posts	1650704112	2022-04-23 08:55:12	Hunter X Hunter, @Rexus Chán 今、私は「スパイダー」の一員です。本当にありがとうございます。 これはとてもクールです。😮🙇‍♀️	18746	2212	130	10232	5224	121	2705	269	181	14
112446317105559	583785383304981	Photo	1650702823	2022-04-23 08:33:43	おい！私の目はここにあります。👀 #深田えいみ #eimifukada	75945	18687	606	47212	25046	443	1494	1270	440	40
112446317105559	583107370039449	Photo	1650630539	2022-04-22 12:28:59	ダーリン、只今！ #深田えいみ #eimifukada	27342	6143	119	16299	9923	71	412	509	116	12
112446317105559	583023923381127	Photo	1650626024	2022-04-22 11:13:44	Open sesame 😮 #深田えいみ #eimifukada	52045	11002	515	30494	18776	253	1237	877	370	38
112446317105559	583004996716353	Posts	1650624917	2022-04-22 10:55:17	T ❤️	38742	24109	1956	19903	6911	260	2117	532	8826	193
112446317105559	582983346718518	Photo	1650622431	2022-04-22 10:13:51	知らない人とテレビ電話したら内容がヤバすぎたwww【斉藤さん】 https://youtu.be/tQwGBZwW758 #深田えいみ #eimifukada	8510	1503	11	4626	2355	31	1251	120	121	6
112446317105559	582887726728080	Photo	1650609474	2022-04-22 06:37:54	撮影頑張ってます☺️🤍 #深田えいみ #eimifukada	26871	4862	128	15191	10636	72	298	567	96	11
112446317105559	582451860105000	Photo	1650551865	2022-04-21 14:37:45	🆈🅰🅼🅴🆃🅴	34691	7037	189	20270	8682	183	4559	539	427	31
112446317105559	581469296869923	Posts	1650454610	2022-04-20 11:36:50	私たちはあなたの時計を21:00日本標準時。にマークして1時間以内にライブチャットをします。また後で！😉	5464	1233	10	3121	1539	31	605	89	73	6
112446317105559	581280083555511	Posts	1650430460	2022-04-20 04:54:20	本日20時に重大発表があります！😉	19647	5455	88	12317	3744	276	2594	254	453	9
112446317105559	580694933614026	Photo	1650368227	2022-04-19 11:37:07	美容鍼灸！💁👌🎍😍 #深田えいみ #eimifukada	33881	6002	143	19874	8964	208	3715	523	580	17
112446317105559	580661996950653	Photo	1650365390	2022-04-19 10:49:50	1,227,500ページと2,410,000人のフォロワーのいいねをありがとう！ 🙇‍♀️🥳😇	22994	3509	88	12809	7198	83	2320	404	170	10
112446317105559	580589286957924	Photo	1650356364	2022-04-19 08:19:24	最近効果あったダイエット方法！！🏋️💪 https://youtu.be/rVcKTONNut0 #fitness #深田えいみ #eimifukada	11295	1879	28	6768	4022	41	218	173	68	5
112446317105559	580516440298542	Posts	1650347104	2022-04-19 05:45:04	すきよ😈🤍 #深田えいみ #eimifukada	28110	6185	191	15527	11446	81	343	556	138	19
112446317105559	580087633674756	Photo	1650290264	2022-04-18 13:57:44	これは私のお気に入りの写真の1つです。それは、単純な笑顔が誰かの一日を変えることができることを示しています。これがあなたを幸せにすることを願っています。🤗🥰 #深田えいみ #eimifukada	24066	4561	126	14098	9088	49	288	451	80	12
112446317105559	579993127017540	Photo	1650281052	2022-04-18 11:24:12	今日も1日お疲れ様です！！☺️ #深田えいみ #eimifukada	27571	5907	127	15838	10765	54	312	497	92	13
112446317105559	579798590370327	Posts	1650253442	2022-04-18 03:44:02	絶倫になるカレー食べたら体に異変が... https://youtu.be/TZOJj2i-gzs #深田えいみ #eimifukada	11756	2204	14	6821	3097	38	1443	181	166	10
112446317105559	578649450485241	Photo	1650105314	2022-04-16 10:35:14	お疲れ様💓 #深田えいみ #eimifukada	41651	8271	199	24866	15286	111	493	725	157	13
112446317105559	578649157151937	Photo	1650105287	2022-04-16 10:34:47	Chickenjoy ❤️💚🐝 #深田えいみ #eimifukada	20689	2893	57	11884	5858	51	2393	304	192	7
112446317105559	578020683881451	Photo	1650024151	2022-04-15 12:02:31	地雷踏んでみました！！！ https://youtu.be/3Y2hkP-J_r8 #深田えいみ #eimifukada	23850	5205	245	12806	9952	62	403	472	124	31
112446317105559	577803407236512	Posts	1649998116	2022-04-15 04:48:36	何でも治します❗️どうぞ #深田えいみ #eimifukada	29350	6248	169	16990	10891	101	641	544	172	11
112446317105559	577325417284311	Photo	1649943330	2022-04-14 13:35:30	メイド喫茶コスチューム、お疲れ様 👩🙇‍♀️ #深田えいみ #eimifukada	63541	14084	759	36992	23713	236	1059	1171	339	31
112446317105559	577263880623798	Posts	1649938968	2022-04-14 12:22:48	maganda po gabi！🎭🚣🏙️🥰 #深田えいみ #eimifukada	21738	3792	525	11949	8836	165	297	382	98	11
112446317105559	577109407305912	Photo	1649918973	2022-04-14 06:49:33	Do you still have Primogems? 🏮⛩️👻🍱🦋❤️🔥 #深田えいみ #eimifukada	13330	2020	419	5807	2601	105	4394	179	230	14
112446317105559	576453180704868	Posts	1649846762	2022-04-13 10:46:02	sarap 😋	27694	6400	1232	14608	4142	182	8042	317	364	39
112446317105559	576370724046447	Posts	1649838688	2022-04-13 08:31:28	悪魔顔😈😈 #深田えいみ #eimifukada	51654	9874	541	29822	19707	142	740	957	254	32
112446317105559	575771577439695	Photo	1649772809	2022-04-12 14:13:29	縄跳びをしましょう！➰🤸🦘 youtu.be/FhRRhCjcqIA #深田えいみ #eimifukada	93073	24545	1132	52402	19391	959	16943	1203	2082	93
112446317105559	575598554123664	Photo	1649755689	2022-04-12 09:28:09	お兄さん、ちょっといいですか？☺️ #深田えいみ #eimifukada	24897	4755	153	14211	9422	83	485	508	175	13
